model,year,region,color,fuel_type,transmission,engine_size_l,mileage_km,price_usd,sales_volume,sales_classification,year_scaled,year_outlier,mileage_km_bin,mileage_km_scaled,mileage_km_outlier,price_usd_bin,price_usd_scaled,price_usd_outlier,sales_volume_bin,sales_volume_scaled,sales_volume_outlier
5 series,2016,asia,red,petrol,manual,3.5,151748.0,98740.0,8300.0,high,-0.2341742756163022,False,"(150610.0, 199996.0]",0.8872493,False,"(97573.0, 119998.0]",0.9125301,False,"(7541.0, 9999.0]",1.1301357,False
i8,2013,north america,red,hybrid,automatic,1.6,121671.0,79219.0,3428.0,low,-0.9278104839566081,False,"(100436.0, 150610.0]",0.368189,False,"(75014.0, 97573.0]",0.16067638,False,"(2591.0, 5097.0]",-0.57518274,False
5 series,2022,north america,blue,petrol,automatic,4.5,10991.0,113265.0,6994.0,low,1.1530981410643097,False,"(2.999, 50121.5]",-1.5418948,False,"(97573.0, 119998.0]",1.4719623,False,"(5097.0, 7541.0]",0.6730039,False
x3,2024,middle east,blue,petrol,automatic,1.7,27255.0,60971.0,4047.0,low,1.615522279957847,False,"(2.999, 50121.5]",-1.2612153,False,"(52501.5, 75014.0]",-0.54214764,False,"(2591.0, 5097.0]",-0.35851768,False
7 series,2020,south america,black,diesel,manual,2.1,122131.0,49898.0,3080.0,low,0.6906740021707723,False,"(100436.0, 150610.0]",0.37612757,False,"(29999.999, 52501.5]",-0.9686256,False,"(2591.0, 5097.0]",-0.69699115,False
5 series,2017,middle east,silver,diesel,manual,1.9,171362.0,42926.0,1232.0,low,-0.002962206169533556,False,"(150610.0, 199996.0]",1.2257421,False,"(29999.999, 52501.5]",-1.237153,False,"(99.999, 2591.0]",-1.3438361,False
i8,2022,europe,white,diesel,manual,1.8,196741.0,55064.0,7949.0,high,1.1530981410643097,False,"(150610.0, 199996.0]",1.6637256,False,"(52501.5, 75014.0]",-0.7696565,False,"(7541.0, 9999.0]",1.0072771,False
m5,2014,asia,black,diesel,automatic,1.6,121156.0,102778.0,632.0,low,-0.6965984145098395,False,"(100436.0, 150610.0]",0.3593013,False,"(97573.0, 119998.0]",1.0680542,False,"(99.999, 2591.0]",-1.5538507,False
x3,2016,south america,white,diesel,automatic,1.7,48073.0,116482.0,8944.0,high,-0.2341742756163022,False,"(2.999, 50121.5]",-0.9019442,False,"(97573.0, 119998.0]",1.5958655,False,"(7541.0, 9999.0]",1.3555512,False
i8,2019,europe,white,electric,manual,3.0,35700.0,96257.0,4411.0,low,0.4594619327240037,False,"(2.999, 50121.5]",-1.115474,False,"(75014.0, 97573.0]",0.8168971,False,"(2591.0, 5097.0]",-0.23110883,False
3 series,2012,middle east,white,electric,manual,2.4,101595.0,117995.0,500.0,low,-1.1590225534033767,False,"(100436.0, 150610.0]",0.021723147,False,"(97573.0, 119998.0]",1.6541388,False,"(99.999, 2591.0]",-1.6000538,False
i8,2016,north america,blue,hybrid,manual,1.9,116863.0,74539.0,8252.0,high,-0.2341742756163022,False,"(100436.0, 150610.0]",0.28521392,False,"(52501.5, 75014.0]",-0.01957441,False,"(7541.0, 9999.0]",1.1133344,False
7 series,2020,north america,silver,diesel,automatic,3.8,27403.0,100015.0,8111.0,high,0.6906740021707723,False,"(2.999, 50121.5]",-1.2586612,False,"(97573.0, 119998.0]",0.9616369,False,"(7541.0, 9999.0]",1.063981,False
5 series,2020,africa,white,electric,manual,2.3,163444.0,119486.0,4668.0,low,0.6906740021707723,False,"(150610.0, 199996.0]",1.0890955,False,"(97573.0, 119998.0]",1.7115649,False,"(2591.0, 5097.0]",-0.14115259,False
x1,2017,asia,black,electric,automatic,1.6,107918.0,34078.0,7291.0,high,-0.002962206169533556,False,"(100436.0, 150610.0]",0.13084367,False,"(29999.999, 52501.5]",-1.5779349,False,"(5097.0, 7541.0]",0.77696115,False
m3,2014,north america,silver,hybrid,manual,3.0,154050.0,94997.0,7765.0,high,-0.6965984145098395,False,"(150610.0, 199996.0]",0.92697656,False,"(75014.0, 97573.0]",0.768368,False,"(7541.0, 9999.0]",0.94287264,False
x5,2013,asia,blue,electric,manual,2.6,110142.0,114844.0,5561.0,low,-0.9278104839566081,False,"(100436.0, 150610.0]",0.16922483,False,"(97573.0, 119998.0]",1.5327777,False,"(5097.0, 7541.0]",0.1714191,False
m5,2017,north america,red,diesel,automatic,2.6,86900.0,81934.0,9755.0,high,-0.002962206169533556,False,"(50121.5, 100436.0]",-0.23187897,False,"(75014.0, 97573.0]",0.26524493,False,"(7541.0, 9999.0]",1.639421,False
5 series,2017,north america,silver,electric,manual,3.1,57843.0,111326.0,4880.0,low,-0.002962206169533556,False,"(50121.5, 100436.0]",-0.7333364,False,"(97573.0, 119998.0]",1.3972815,False,"(2591.0, 5097.0]",-0.066947445,False
x5,2012,africa,blue,electric,manual,3.8,142243.0,82677.0,7104.0,high,-1.1590225534033767,False,"(100436.0, 150610.0]",0.7232147,False,"(75014.0, 97573.0]",0.2938617,False,"(5097.0, 7541.0]",0.7115066,False
x3,2015,north america,red,diesel,automatic,3.7,123910.0,88091.0,8635.0,high,-0.46538634506307086,False,"(100436.0, 150610.0]",0.40682903,False,"(75014.0, 97573.0]",0.5023826,False,"(7541.0, 9999.0]",1.2473937,False
x1,2014,africa,white,petrol,manual,4.8,13568.0,62941.0,1113.0,low,-0.6965984145098395,False,"(2.999, 50121.5]",-1.4974216,False,"(52501.5, 75014.0]",-0.46627283,False,"(99.999, 2591.0]",-1.385489,False
m5,2011,europe,grey,electric,automatic,3.3,78042.0,49507.0,9383.0,high,-1.3902346228501454,False,"(50121.5, 100436.0]",-0.3847478,False,"(29999.999, 52501.5]",-0.983685,False,"(7541.0, 9999.0]",1.5092119,False
7 series,2017,north america,black,petrol,automatic,3.2,58288.0,101791.0,7521.0,high,-0.002962206169533556,False,"(50121.5, 100436.0]",-0.7256567,False,"(97573.0, 119998.0]",1.0300398,False,"(5097.0, 7541.0]",0.8574667,False
x5,2021,south america,red,diesel,manual,2.2,184981.0,47527.0,6273.0,low,0.921886071617541,False,"(150610.0, 199996.0]",1.4607749,False,"(29999.999, 52501.5]",-1.059945,False,"(5097.0, 7541.0]",0.4206364,False
x3,2023,middle east,white,electric,automatic,4.1,194398.0,85370.0,4645.0,low,1.3843102105110783,False,"(150610.0, 199996.0]",1.6232908,False,"(75014.0, 97573.0]",0.39758292,False,"(2591.0, 5097.0]",-0.14920315,False
m3,2015,asia,red,hybrid,manual,2.0,41514.0,116902.0,8897.0,high,-0.46538634506307086,False,"(2.999, 50121.5]",-1.0151376,False,"(97573.0, 119998.0]",1.6120418,False,"(7541.0, 9999.0]",1.3391001,False
x1,2011,north america,black,hybrid,automatic,3.2,104742.0,107465.0,6481.0,low,-1.3902346228501454,False,"(100436.0, 150610.0]",0.076033175,False,"(97573.0, 119998.0]",1.2485746,False,"(5097.0, 7541.0]",0.49344143,False
m5,2021,asia,red,hybrid,automatic,3.0,105162.0,32076.0,9469.0,high,0.921886071617541,False,"(100436.0, 150610.0]",0.08328141,False,"(29999.999, 52501.5]",-1.6550422,False,"(7541.0, 9999.0]",1.539314,False
m3,2014,asia,white,electric,automatic,3.8,90282.0,64049.0,1440.0,low,-0.6965984145098395,False,"(50121.5, 100436.0]",-0.17351337,False,"(52501.5, 75014.0]",-0.42359808,False,"(99.999, 2591.0]",-1.271031,False
i8,2010,south america,black,hybrid,automatic,4.7,16020.0,102215.0,5006.0,low,-1.621446692296914,False,"(2.999, 50121.5]",-1.4551058,False,"(97573.0, 119998.0]",1.0463701,False,"(2591.0, 5097.0]",-0.022844383,False
i8,2021,south america,silver,diesel,manual,4.8,3188.0,64577.0,448.0,low,0.921886071617541,False,"(2.999, 50121.5]",-1.6765567,False,"(52501.5, 75014.0]",-0.40326208,False,"(99.999, 2591.0]",-1.6182551,False
m5,2019,asia,red,diesel,manual,2.1,97294.0,53277.0,4091.0,low,0.4594619327240037,False,"(50121.5, 100436.0]",-0.052502282,False,"(52501.5, 75014.0]",-0.838483,False,"(2591.0, 5097.0]",-0.3431166,False
i8,2015,asia,white,hybrid,automatic,2.4,194395.0,118788.0,3384.0,low,-0.46538634506307086,False,"(150610.0, 199996.0]",1.623239,False,"(97573.0, 119998.0]",1.6846813,False,"(2591.0, 5097.0]",-0.5905838,False
x1,2022,middle east,grey,hybrid,manual,4.3,143013.0,116432.0,4926.0,low,1.1530981410643097,False,"(100436.0, 150610.0]",0.7365031,False,"(97573.0, 119998.0]",1.5939397,False,"(2591.0, 5097.0]",-0.050846327,False
m5,2021,south america,grey,petrol,automatic,3.3,88342.0,108240.0,4561.0,low,0.921886071617541,False,"(50121.5, 100436.0]",-0.20699334,False,"(97573.0, 119998.0]",1.2784238,False,"(2591.0, 5097.0]",-0.1786052,False
