rank,peak,all_time_peak,actual_gross,adjusted_gross_in_2022_dollars,artist,tour_title,year_s,shows,average_gross,year_s_start,year_s_end,rank_bin,rank_outlier,peak_log,all_time_peak_log,actual_gross_bin,actual_gross_scaled,actual_gross_log,actual_gross_outlier,adjusted_gross_in_2022_dollars_bin,adjusted_gross_in_2022_dollars_scaled,adjusted_gross_in_2022_dollars_log,adjusted_gross_in_2022_dollars_outlier,shows_bin,shows_log,shows_outlier,average_gross_bin,average_gross_scaled,average_gross_log,average_gross_outlier,year_s_start_bin,year_s_start_scaled,year_s_start_outlier,year_s_end_bin,year_s_end_scaled,year_s_end_outlier
1.0,1.0,2.0,780000000.0,780000000.0,taylor swift,the eras tour,2023-2024,56.0,1.3928571e+07,2023,2024.0,"(0.999, 5.75]",False,0.6931472,1.0986123,"(315287558.75, 780000000.0]",3.1475344885605483,20.47480447892996,True,"(392445084.25, 780000000.0]",2.87940169370271,20.47480447892996,True,"(40.999, 59.0]",4.0430512,False,"(4933024.25, 13928571.0]",3.0064776,16.449453,True,"(2016.5, 2023.0]",1.6275086628309425,False,"(2016.75, 2024.0]",1.7545021762588389,False
2.0,1.0,7.0,579800000.0,579800000.0,beyoncé,renaissance world tour,2023,56.0,1.0353571e+07,2023,,"(0.999, 5.75]",False,0.6931472,2.0794415,"(315287558.75, 780000000.0]",1.8668972335144707,20.178193776176563,True,"(392445084.25, 780000000.0]",1.5576239784099222,20.178193776176563,False,"(40.999, 59.0]",4.0430512,False,"(4933024.25, 13928571.0]",1.9529432,16.152842,True,"(2016.5, 2023.0]",1.6275086628309425,False,,,True
3.0,1.0,2.0,411000000.0,560622615.0,madonna,sticky & sweet tour,2008-2009,85.0,4.835294e+06,2008,2009.0,"(0.999, 5.75]",False,0.6931472,1.0986123,"(315287558.75, 780000000.0]",0.7871191683207752,19.8341037748936,False,"(392445084.25, 780000000.0]",1.431009392343038,20.144558538371413,False,"(59.0, 87.0]",4.454347,False,"(2342100.0, 4933024.25]",0.3267351,15.391453,False,"(2001.999, 2011.25]",-1.0405383254164777,False,"(2004.999, 2011.5]",-1.036751285971161,False
4.0,2.0,10.0,397300000.0,454751555.0,pink,beautiful trauma world tour,2018-2019,156.0,2.546795e+06,2018,2019.0,"(0.999, 5.75]",False,1.0986123,2.3978953,"(315287558.75, 780000000.0]",0.6994831523660736,19.800202223301817,False,"(392445084.25, 780000000.0]",0.7320183443788739,19.935261797016906,False,"(134.5, 325.0]",5.056246,False,"(2342100.0, 4933024.25]",-0.34767392,14.750346,False,"(2016.5, 2023.0]",0.7381596667484691,False,"(2016.75, 2024.0]",0.8240843555155056,False
5.0,2.0,10.0,345675146.0,402844849.0,taylor swift,reputation stadium tour,2018,53.0,6.522173e+06,2018,,"(0.999, 5.75]",False,1.0986123,2.3978953,"(315287558.75, 780000000.0]",0.36924982909577136,19.6610100104938,False,"(392445084.25, 780000000.0]",0.38931541098699357,19.814062058191155,False,"(40.999, 59.0]",3.988984,False,"(4933024.25, 13928571.0]",0.8238498,15.690719,False,"(2016.5, 2023.0]",0.7381596667484691,False,,,True
6.0,2.0,10.0,305158363.0,388978496.0,madonna,the mdna tour,2012,88.0,3.467709e+06,2012,,"(5.75, 10.5]",False,1.0986123,2.3978953,"(239750000.0, 315287558.75]",0.11007249760517412,19.536341426049898,False,"(297488872.0, 392445084.25]",0.2977657786803837,19.779034622419893,False,"(87.0, 134.5]",4.4886365,False,"(2342100.0, 4933024.25]",-0.07628524,15.059005,False,"(2011.25, 2013.5]",-0.329059128550499,False,,,True
7.0,2.0,10.0,280000000.0,381932682.0,celine dion,taking chances world tour,2008-2009,131.0,2.137405e+06,2008,2009.0,"(5.75, 10.5]",False,1.0986123,2.3978953,"(239750000.0, 315287558.75]",-0.0508602543117729,19.450300164704952,False,"(297488872.0, 392445084.25]",0.2512472975050693,19.760754928528748,False,"(87.0, 134.5]",4.882802,False,"(1647508.0, 2342100.0]",-0.4683191,14.575104,False,"(2001.999, 2011.25]",-1.0405383254164777,False,"(2004.999, 2011.5]",-1.036751285971161,False
7.0,2.0,10.0,257600000.0,257600000.0,pink,summer carnival,2023-2024,41.0,6.282927e+06,2023,2024.0,"(5.75, 10.5]",False,1.0986123,2.3978953,"(239750000.0, 315287558.75]",-0.19414833879245288,19.36691855607646,False,"(245755688.25, 297488872.0]",-0.5696326642840652,19.36691855607646,False,"(40.999, 59.0]",3.7376697,False,"(4933024.25, 13928571.0]",0.7533452,15.653347,False,"(2016.5, 2023.0]",1.6275086628309425,False,"(2016.75, 2024.0]",1.7545021762588389,False
9.0,2.0,10.0,256084556.0,312258401.0,beyoncé,the formation world tour,2016,49.0,5.226215e+06,2016,,"(5.75, 10.5]",False,1.0986123,2.3978953,"(239750000.0, 315287558.75]",-0.2038423150378877,19.36101824868779,False,"(297488872.0, 392445084.25]",-0.20876225271894522,19.55934161453429,False,"(40.999, 59.0]",3.912023,False,"(4933024.25, 13928571.0]",0.44193754,15.469198,False,"(2013.5, 2016.5]",0.38242006831547976,False,,,True
10.0,2.0,10.0,250400000.0,309141878.0,taylor swift,the 1989 world tour,2015,85.0,2.945882e+06,2015,,"(5.75, 10.5]",False,1.0986123,2.3978953,"(239750000.0, 315287558.75]",-0.24020522308981432,19.338570201183828,False,"(297488872.0, 392445084.25]",-0.2293384297948564,19.54931088482227,False,"(59.0, 87.0]",4.454347,False,"(2342100.0, 4933024.25]",-0.23006502,14.895919,False,"(2013.5, 2016.5]",0.20455026909898508,False,,,True
11.0,2.0,10.0,229100000.0,283202896.0,beyoncé,the mrs. carter show world tour,2013-2014,132.0,1.735606e+06,2013,2014.0,"(10.5, 15.25]",False,1.0986123,2.3978953,"(191500000.0, 239750000.0]",-0.37645683913617517,19.24966915178863,False,"(245755688.25, 297488872.0]",-0.4005950150345205,19.46167414925129,False,"(87.0, 134.5]",4.890349,False,"(1647508.0, 2342100.0]",-0.5867272,14.366868,False,"(2011.25, 2013.5]",-0.1511893293340043,False,"(2011.5, 2014.0]",-0.10633346522782765,False
12.0,2.0,14.0,227400000.0,295301479.0,lady gaga,the monster ball tour,2009-2011,203.0,1.118227e+06,2009,2011.0,"(10.5, 15.25]",False,1.0986123,2.7080503,"(191500000.0, 239750000.0]",-0.38733138126194105,19.242221143678247,False,"(245755688.25, 297488872.0]",-0.32071670636309113,19.503507358553946,False,"(134.5, 325.0]",5.31812,False,"(615384.999, 1647508.0]",-0.7686657,13.927256,False,"(2001.999, 2011.25]",-0.862668526199983,False,"(2004.999, 2011.5]",-0.6645841576738276,False
